n,method,true_return,predicted_return,pred_true_gap,ood,selection_bias,candidate_true_mean,candidate_pred_mean,candidate_diversity,selected_mode_entropy
1,first_candidate,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,0.0,-64.92626190185547,26.541126251220703,0.0,0.9971803988942642
1,proxy_tail,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,0.0,-64.92626190185547,26.541126251220703,0.0,0.9971803988942642
1,calibrated_tail,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,0.0,-64.92626190185547,26.541126251220703,0.0,0.9971803988942642
2,first_candidate,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,2.2731800079345703,-62.09709930419922,24.267946243286133,0.9463542997837067,0.9971803988942642
2,proxy_tail,-66.68766021728516,29.024642944335938,95.71231079101562,263.6913757324219,4.756696701049805,-62.09709930419922,24.267946243286133,0.9463542997837067,0.9886994082884974
2,calibrated_tail,-48.694984436035156,24.683408737182617,73.3783950805664,198.63348388671875,0.4154624938964844,-62.09709930419922,24.267946243286133,0.9463542997837067,0.8960382325345574
4,first_candidate,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,3.3494834899902344,-60.2428092956543,23.19164276123047,0.9288326594978571,0.9971803988942642
4,proxy_tail,-77.53082275390625,32.97148895263672,110.5023193359375,296.376220703125,9.77984619140625,-60.2428092956543,23.19164276123047,0.9288326594978571,0.9886994082884974
4,calibrated_tail,-41.23536682128906,22.99376678466797,64.22913360595703,168.8485107421875,-0.1978759765625,-60.2428092956543,23.19164276123047,0.9288326594978571,0.954434002924965
8,first_candidate,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,2.781179428100586,-62.293128967285156,23.759946823120117,0.9654738027602434,0.9971803988942642
8,proxy_tail,-87.08204650878906,39.650508880615234,126.73255920410156,309.031005859375,15.890562057495117,-62.293128967285156,23.759946823120117,0.9654738027602434,0.9886994082884974
8,calibrated_tail,-39.314735412597656,23.497596740722656,62.81233215332031,158.43795776367188,-0.26235008239746094,-62.293128967285156,23.759946823120117,0.9654738027602434,0.9283620723948676
16,first_candidate,-64.92626190185547,26.541126251220703,91.46739196777344,263.6424255371094,2.4446182250976562,-62.801536560058594,24.096508026123047,0.9724232275038958,0.9971803988942642
16,proxy_tail,-96.70556640625,46.29819107055664,143.00375366210938,315.99652099609375,22.201683044433594,-62.801536560058594,24.096508026123047,0.9724232275038958,0.9283620723948676
16,calibrated_tail,-40.97566223144531,26.704364776611328,67.68002319335938,155.33563232421875,2.6078567504882812,-62.801536560058594,24.096508026123047,0.9724232275038958,0.8960382325345574
